DD/MM/YYYY HH:MM:SS	light(lux)
22/07/2021 11:04:56	2617.455
22/07/2021 11:09:56	7.949
22/07/2021 11:14:56	1.136
22/07/2021 11:19:56	1.136
22/07/2021 11:24:56	1.136
22/07/2021 11:29:56	1.136
22/07/2021 11:34:56	1.136
22/07/2021 11:39:56	1.136
22/07/2021 11:44:56	1.136
22/07/2021 11:49:56	1.136
22/07/2021 11:54:56	1.136
22/07/2021 11:59:56	1.136
22/07/2021 12:04:56	1.136
22/07/2021 12:09:56	1.136
22/07/2021 12:14:56	1.136
22/07/2021 12:19:56	1.136
22/07/2021 12:24:56	1.136
22/07/2021 12:29:56	1.136
22/07/2021 12:34:56	1.136
22/07/2021 12:39:56	1.136
22/07/2021 12:44:56	1.136
22/07/2021 12:49:56	1.136
22/07/2021 12:54:56	1.136
22/07/2021 12:59:56	1.136
22/07/2021 13:04:56	1.136
22/07/2021 13:09:56	1.136
22/07/2021 13:14:56	1.136
22/07/2021 13:19:56	1.136
22/07/2021 13:24:56	1.136
22/07/2021 13:29:56	1.136
22/07/2021 13:34:56	1.136
22/07/2021 13:39:56	1.136
22/07/2021 13:44:56	1.136
22/07/2021 13:49:56	1.136
22/07/2021 13:54:56	1.136
22/07/2021 13:59:56	1.136
22/07/2021 14:04:56	1.136
22/07/2021 14:09:56	1.136
22/07/2021 14:14:56	1.136
22/07/2021 14:19:56	1.136
22/07/2021 14:24:56	1.136
22/07/2021 14:29:56	1.136
22/07/2021 14:34:56	1.136
22/07/2021 14:39:56	1.136
22/07/2021 14:44:56	1.136
22/07/2021 14:49:56	1.136
22/07/2021 14:54:56	1.136
22/07/2021 14:59:56	1.136
22/07/2021 15:04:56	1.136
22/07/2021 15:09:56	1.136
22/07/2021 15:14:56	1.136
22/07/2021 15:19:56	1.136
22/07/2021 15:24:56	1.136
22/07/2021 15:29:56	1.136
22/07/2021 15:34:56	1.136
22/07/2021 15:39:56	1.136
22/07/2021 15:44:56	1.136
22/07/2021 15:49:56	1.136
22/07/2021 15:54:56	1.136
22/07/2021 15:59:56	1.136
22/07/2021 16:04:56	1.136
22/07/2021 16:09:56	1.136
22/07/2021 16:14:56	1.136
22/07/2021 16:19:56	1.136
22/07/2021 16:24:56	1.136
22/07/2021 16:29:56	1.136
22/07/2021 16:34:56	1.136
