"Datetime","Substrate","Trial","lux","Microhabitat","Weather","Species","Size","Tb","lux.1000","Time"
2020-06-27 08:18:00,17.7,"T1",8722.199,NA,NA,"P. hernandesi","Large",14.2,8.722199,2021-12-03 08:18:00
2020-06-27 08:23:00,18.3,"T1",8431.497,NA,NA,"P. hernandesi","Large",14.3,8.431497,2021-12-03 08:23:00
2020-06-27 08:28:00,17.8,"T1",15117.645,NA,NA,"P. hernandesi","Large",15.2,15.117645,2021-12-03 08:28:00
2020-06-27 08:33:00,19.1,"T1",13954.837,NA,NA,"P. hernandesi","Large",15.6,13.954837,2021-12-03 08:33:00
2020-06-27 08:38:00,18,"T1",16280.454,NA,NA,"P. hernandesi","Large",16.7,16.280454,2021-12-03 08:38:00
2020-06-27 08:43:00,18.2,"T1",10466.412,NA,NA,"P. hernandesi","Large",16.8,10.466412,2021-12-03 08:43:00
2020-06-27 08:48:00,17.6,"T1",6105.88,NA,NA,"P. hernandesi","Large",16.9,6.10588,2021-12-03 08:48:00
2020-06-27 08:53:00,17.3,"T1",9012.901,NA,NA,"P. hernandesi","Large",16.9,9.012901,2021-12-03 08:53:00
2020-06-27 08:58:00,17.6,"T1",10466.412,NA,NA,"P. hernandesi","Large",17.3,10.466412,2021-12-03 08:58:00
2020-06-27 09:03:00,17.6,"T1",2762.806,NA,NA,"P. hernandesi","Large",17.3,2.762806,2021-12-03 09:03:00
2020-06-27 09:08:00,18.1,"T1",5815.178,NA,NA,"P. hernandesi","Large",18.4,5.815178,2021-12-03 09:08:00
2020-06-27 09:13:00,19.5,"T1",12792.028,NA,NA,"P. hernandesi","Large",20.2,12.792028,2021-12-03 09:13:00
2020-06-27 09:18:00,19.8,"T1",9012.901,NA,NA,"P. hernandesi","Large",20.4,9.012901,2021-12-03 09:18:00
2020-06-27 09:23:00,24.3,"T1",18606.071,NA,NA,"P. hernandesi","Large",23.1,18.606071,2021-12-03 09:23:00
2020-06-27 09:28:00,22.8,"T1",23257.304,NA,NA,"P. hernandesi","Large",23.3,23.257304,2021-12-03 09:28:00
2020-06-27 09:33:00,25.7,"T1",25582.921,NA,NA,"P. hernandesi","Large",28.3,25.582921,2021-12-03 09:33:00
2020-06-27 09:38:00,28.6,"T1",41862.239,NA,NA,"P. hernandesi","Large",31.4,41.862239,2021-12-03 09:38:00
2020-06-27 09:43:00,31.1,"T1",55815.941,NA,NA,"P. hernandesi","Large",34.4,55.815941,2021-12-03 09:43:00
2020-06-27 09:48:00,33.1,"T1",69769.642,NA,NA,"P. hernandesi","Large",36.8,69.769642,2021-12-03 09:48:00
2020-06-27 09:53:00,35.1,"T1",74418.605,NA,NA,"P. hernandesi","Large",38.4,74.418605,2021-12-03 09:53:00
2020-06-27 09:58:00,36.6,"T1",74418.605,NA,NA,"P. hernandesi","Large",39.7,74.418605,2021-12-03 09:58:00
2020-06-27 10:03:00,38.3,"T1",74418.605,NA,NA,"P. hernandesi","Large",40.5,74.418605,2021-12-03 10:03:00
2020-06-27 10:08:00,39.7,"T1",41862.239,NA,NA,"P. hernandesi","Large",41.7,41.862239,2021-12-03 10:08:00
2020-06-27 10:13:00,39.8,"T1",74418.605,NA,NA,"P. hernandesi","Large",42.2,74.418605,2021-12-03 10:13:00
2020-06-27 10:18:00,41.2,"T1",74418.605,NA,NA,"P. hernandesi","Large",42.7,74.418605,2021-12-03 10:18:00
2020-06-27 10:23:00,41.4,"T1",74418.605,NA,NA,"P. hernandesi","Large",42.4,74.418605,2021-12-03 10:23:00
2020-06-27 10:28:00,41.4,"T1",74418.605,NA,NA,"P. hernandesi","Large",41.9,74.418605,2021-12-03 10:28:00
2020-06-27 10:33:00,39.3,"T1",74418.605,NA,NA,"P. hernandesi","Large",41.1,74.418605,2021-12-03 10:33:00
2020-06-27 10:38:00,38.9,"T1",69769.642,NA,NA,"P. hernandesi","Large",40.2,69.769642,2021-12-03 10:38:00
2020-06-27 10:43:00,39.6,"T1",69769.642,NA,NA,"P. hernandesi","Large",39.8,69.769642,2021-12-03 10:43:00
2020-06-27 10:48:00,36.8,"T1",60467.174,NA,NA,"P. hernandesi","Large",38.4,60.467174,2021-12-03 10:48:00
2020-06-27 10:53:00,35.4,"T1",69769.642,NA,NA,"P. hernandesi","Large",36,69.769642,2021-12-03 10:53:00
2020-06-27 10:58:00,34.3,"T1",65118.408,NA,NA,"P. hernandesi","Large",34.3,65.118408,2021-12-03 10:58:00
2020-06-27 11:03:00,34.7,"T1",46513.473,NA,NA,"P. hernandesi","Large",34.1,46.513473,2021-12-03 11:03:00
2020-06-27 11:08:00,34.5,"T1",46513.473,NA,NA,"P. hernandesi","Large",33.9,46.513473,2021-12-03 11:08:00
2020-06-27 11:13:00,33.7,"T1",27908.538,NA,NA,"P. hernandesi","Large",33.7,27.908538,2021-12-03 11:13:00
2020-06-27 11:18:00,32.9,"T1",12792.028,NA,NA,"P. hernandesi","Large",33.1,12.792028,2021-12-03 11:18:00
2020-06-27 11:23:00,32.3,"T1",41862.239,NA,NA,"P. hernandesi","Large",32.4,41.862239,2021-12-03 11:23:00
2020-06-27 11:28:00,31.9,"T1",34885.389,NA,NA,"P. hernandesi","Large",31.7,34.885389,2021-12-03 11:28:00
2020-06-27 11:33:00,31.9,"T1",15117.645,NA,NA,"P. hernandesi","Large",31.2,15.117645,2021-12-03 11:33:00
2020-06-27 11:38:00,33,"T1",74418.605,NA,NA,"P. hernandesi","Large",31.1,74.418605,2021-12-03 11:38:00
2020-06-28 17:38:00,32.9,"T2",20931.687,"Open","Overcast","P. hernandesi","Large",19.6,20.931687,2021-12-03 17:38:00
2020-06-28 17:43:00,32.7,"T2",25582.921,"Open","Overcast","P. hernandesi","Large",21.9,25.582921,2021-12-03 17:43:00
2020-06-28 17:48:00,32.3,"T2",25582.921,"Open","Overcast","P. hernandesi","Large",25.4,25.582921,2021-12-03 17:48:00
2020-06-28 17:53:00,31.2,"T2",23257.304,"Open","Overcast","P. hernandesi","Large",26.3,23.257304,2021-12-03 17:53:00
2020-06-28 17:58:00,30.4,"T2",18606.071,"Open","Overcast","P. hernandesi","Large",26.5,18.606071,2021-12-03 17:58:00
